issue_category,issue_sub_category,issue_category_sub_category,product_sub_category,conversation,issue_area_Login and Account,issue_area_Order,issue_area_Shipping,issue_area_Shopping,issue_area_Warranty,customer_sentiment_negative,customer_sentiment_neutral,customer_sentiment_positive,product_category_Electronics,product_category_Men/Women/Kids,issue_complexity_less,issue_complexity_medium,agent_experience_level_inexperienced,agent_experience_level_junior,"agent_experience_level_desc_handles customer inquiries independently, possess solid troubleshooting skills, and seek guidance from more experienced team members when needed.","agent_experience_level_desc_may struggle with ambiguous queries, rely on clarification from customers or guidance from senior team members, find it difficult to de-escalate tense situations, and may rely on predefined steps or escalate to supervisors for support"
0,0,0,0,0,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False
1,1,1,1,1,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False
2,2,2,2,2,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
3,3,3,3,3,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True
4,4,4,4,4,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False
5,5,5,5,5,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False
6,6,6,3,6,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True
7,7,7,6,7,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False
8,8,8,7,8,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,True
0,9,9,8,9,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
9,10,10,9,10,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False
10,11,11,10,11,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
4,4,4,11,12,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
11,12,12,12,13,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True
2,13,13,0,14,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True
4,14,14,10,15,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False
12,15,15,5,16,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False
13,16,16,2,17,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
11,17,17,13,18,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False
12,15,15,14,19,False,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False
4,18,18,15,20,False,True,False,False,False,True,False,False,False,True,False,True,False,True,True,False
14,19,19,10,21,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False
3,3,3,6,22,True,False,False,False,False,False,True,False,False,True,True,False,True,False,False,True
15,20,20,16,23,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False
11,21,21,17,24,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
16,22,22,7,25,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False
0,23,23,16,26,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
4,18,18,11,27,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True
17,24,24,18,28,False,False,True,False,False,True,False,False,False,True,True,False,False,True,True,False
1,25,25,19,29,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False
4,26,26,20,30,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False
0,27,27,21,31,True,False,False,False,False,False,True,False,False,True,True,False,False,True,True,False
5,5,5,22,32,True,False,False,False,False,True,False,False,True,False,True,False,False,True,True,False
18,28,28,13,33,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False
19,29,29,23,34,False,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False
18,28,28,24,35,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False
15,20,20,25,36,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
11,12,12,21,37,False,False,False,False,False,False,True,False,False,True,True,False,False,True,True,False
20,30,30,26,38,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
21,31,31,3,39,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False
15,20,20,27,40,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False
6,32,32,28,41,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
22,33,33,5,42,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False
4,34,34,29,43,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False
11,35,35,4,44,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False
4,14,14,30,45,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,False
23,36,36,15,46,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
13,37,37,27,47,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False
8,38,38,31,48,False,True,False,False,False,False,True,False,True,False,False,True,False,True,True,False
8,38,38,32,49,False,True,False,False,False,False,True,False,True,False,True,False,False,True,True,False
24,39,39,14,50,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True
1,40,40,33,51,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
4,41,41,34,52,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False
2,42,42,25,53,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
23,43,43,29,54,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
6,32,32,35,55,False,False,False,False,False,True,False,False,False,True,True,False,False,True,True,False
25,44,44,28,56,False,True,False,False,False,False,True,False,False,False,True,False,False,True,True,False
4,41,41,0,57,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False
11,45,45,2,58,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
23,43,43,36,59,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,False
25,44,44,19,60,False,True,False,False,False,False,True,False,False,True,True,False,False,True,True,False
3,3,3,37,61,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1,46,46,31,62,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True
2,47,47,38,63,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
4,48,48,39,64,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
26,49,49,7,65,False,True,False,False,False,False,False,True,True,False,True,False,False,True,True,False
13,50,50,4,66,False,True,False,False,False,False,True,False,True,False,True,False,False,True,True,False
12,15,15,2,67,False,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False
8,51,51,40,68,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False
6,32,32,41,69,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
13,37,37,15,70,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False
21,52,52,37,71,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
11,45,45,28,72,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
1,25,25,18,73,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,True
21,53,53,24,74,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False
27,54,54,18,75,False,False,False,True,False,False,True,False,False,True,False,True,False,True,True,False
1,25,25,1,76,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
17,55,55,32,77,False,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False
7,7,7,25,78,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False
0,0,0,12,79,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True
13,16,16,1,80,False,True,False,False,False,True,False,False,True,False,False,True,False,True,True,False
13,56,56,13,81,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
13,56,56,42,82,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,True
28,57,57,9,83,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False
11,21,21,16,84,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
13,56,56,15,85,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,True
